Price,Shipping,Grade,Mileage,Organization,Location,More Info
50.00,Contact Seller,Excellent Condition (Grade A),170000,Whiteys Wrecking Inc.,"Spokane, WA","https://www.hollanderparts.com/used-auto-parts/2013/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1326466-2590-1"
50.00,Contact Seller,Excellent Condition (Grade A),150000,Whiteys Wrecking Inc.,"Spokane, WA","https://www.hollanderparts.com/used-auto-parts/2010/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1325176-2590-1"
50.00,Contact Seller,Excellent Condition (Grade A),150000,Whiteys Wrecking Inc.,"Spokane, WA","https://www.hollanderparts.com/used-auto-parts/2009/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1315451-2590-1"
50.00,Contact Seller,Excellent Condition (Grade A),140000,Whiteys Wrecking Inc.,"Spokane, WA","https://www.hollanderparts.com/used-auto-parts/2013/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1315066-2590-1"
50.00,Contact Seller,Excellent Condition (Grade A),110000,Whiteys Wrecking Inc.,"Spokane, WA","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1257964-2590-1"
50.00,Contact Seller,Excellent Condition (Grade A),159000,Whiteys Wrecking Inc.,"Spokane, WA","https://www.hollanderparts.com/used-auto-parts/2008/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-961233-2590-1"
50.00,Contact Seller,Excellent Condition (Grade A),99000,Whiteys Wrecking Inc.,"Spokane, WA","https://www.hollanderparts.com/used-auto-parts/2008/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-615794-2590-1"
45.00,Contact Seller,Excellent Condition (Grade A),165000,St. Francis Auto Parts,"Saint Francis, MN","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1028663-8550-1"
45.00,Contact Seller,Excellent Condition (Grade A),191000,St. Francis Auto Parts,"Saint Francis, MN","https://www.hollanderparts.com/used-auto-parts/2009/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1007063-8550-1"
Call For Price,In-Store Pickup Available!,Excellent Condition (Grade A),118000,Finish Line Auto Parts,"Stockton, CA","https://www.hollanderparts.com/used-auto-parts/2009/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-48420-8159-1"
30.00,Contact Seller,Excellent Condition (Grade A),0,"Jeff Smid Auto, Inc.","Davenport, IA","https://www.hollanderparts.com/used-auto-parts/2010/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-341738-6835-1"
65.00,Contact Seller,Excellent Condition (Grade A),149000,Natchez Salvage and Parts,"Natchez, MS","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1409546-1828-2"
65.00,Contact Seller,Excellent Condition (Grade A),0,Natchez Salvage and Parts,"Natchez, MS","https://www.hollanderparts.com/used-auto-parts/2009/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1363117-1828-2"
60.00,Contact Seller,Excellent Condition (Grade A),155000,Auto Parts of Shelby,"Shelby, NC","https://www.hollanderparts.com/used-auto-parts/2013/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-793147-379-1"
50.00,Contact Seller,Good Condition (Grade B),123000,Bacon's Foreign Car Parts,"Marion, AR","https://www.hollanderparts.com/used-auto-parts/2012/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-301072-406-1"
45.00,Contact Seller,Fair Condition (Grade C),294000,St. Francis Auto Parts,"Saint Francis, MN","https://www.hollanderparts.com/used-auto-parts/2010/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1001429-8550-1"
00.00,Contact Seller,Part Grade Unknown,0,Henri Miron Automobile,"St Jerome, QC","https://www.hollanderparts.com/used-auto-parts/2008/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1397361-5786-1"
Call For Price,20.00,Part Grade Unknown,0,Morgan Highway Auto Parts,"Scranton, PA","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-700404-1793-1"
Call For Price,20.00,Part Grade Unknown,0,Morgan Highway Auto Parts,"Scranton, PA","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-675945-1793-1"
50.00,Contact Seller,Part Grade Unknown,184000,Sunline Auto Parts,"Cedar Rapids, IA","https://www.hollanderparts.com/used-auto-parts/2010/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-542369-8411-1"
Call For Price,In-Store Pickup Available!,Part Grade Unknown,42000,All Trucks Foreign,"Rancho Cordova, CA","https://www.hollanderparts.com/used-auto-parts/2012/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-95606-7208-1"
Call For Price,In-Store Pickup Available!,Part Grade Unknown,0,All Trucks Foreign,"Rancho Cordova, CA","https://www.hollanderparts.com/used-auto-parts/2008/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-62822-7208-1"
Call For Price,In-Store Pickup Available!,Part Grade Unknown,0,All Trucks Foreign,"Rancho Cordova, CA","https://www.hollanderparts.com/used-auto-parts/2008/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-41721-7208-1"
Call For Price,In-Store Pickup Available!,Part Grade Unknown,0,All Trucks Recycling,"Rancho Cordova, CA","https://www.hollanderparts.com/used-auto-parts/2013/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-327724-5985-1"
Call For Price,In-Store Pickup Available!,Part Grade Unknown,0,All Trucks Recycling,"Rancho Cordova, CA","https://www.hollanderparts.com/used-auto-parts/2010/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-309256-5985-1"
50.00,Contact Seller,Part Grade Unknown,150000,Labrum Auto Wrecking,"Salt Lake City, UT","https://www.hollanderparts.com/used-auto-parts/2008/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-509401-1542-1"
50.00,Contact Seller,Part Grade Unknown,0,"Glen Cove Auto Salv. Inc,","Glen Cove, NY","https://www.hollanderparts.com/used-auto-parts/2008/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-316196-1188-2"
45.00,Contact Seller,Part Grade Unknown,101000,Gene's Auto Parts,"Traverse City, MI","https://www.hollanderparts.com/used-auto-parts/2013/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-2431210-1173-1"
45.00,Contact Seller,Part Grade Unknown,166000,Gene's Auto Parts,"Traverse City, MI","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-2415382-1173-1"
45.00,Contact Seller,Part Grade Unknown,83000,Gene's Auto Parts,"Traverse City, MI","https://www.hollanderparts.com/used-auto-parts/2013/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-2373157-1173-1"
45.00,Contact Seller,Part Grade Unknown,144000,Gene's Auto Parts,"Traverse City, MI","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-2237226-1173-1"
55.00,Contact Seller,Part Grade Unknown,44000,Gene's Auto Parts,"Traverse City, MI","https://www.hollanderparts.com/used-auto-parts/2012/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1199098-1173-1"
55.00,Contact Seller,Part Grade Unknown,31000,Gene's Auto Parts,"Traverse City, MI","https://www.hollanderparts.com/used-auto-parts/2014/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-1015520-1173-1"
50.00,Contact Seller,Part Grade Unknown,0,Bacon's Foreign Car Parts,"Marion, AR","https://www.hollanderparts.com/used-auto-parts/2012/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-344846-406-1"
35.00,Contact Seller,Part Grade Unknown,100000,"Auto Network, Inc","Fairmount, IN","https://www.hollanderparts.com/used-auto-parts/2012/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-472843-373-1"
40.00,Contact Seller,Part Grade Unknown,45000,"Auto Network, Inc","Fairmount, IN","https://www.hollanderparts.com/used-auto-parts/2013/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-451785-373-1"
50.00,Contact Seller,Part Grade Unknown,0,"Auto Network, Inc","Fairmount, IN","https://www.hollanderparts.com/used-auto-parts/2008/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-399819-373-1"
50.00,Contact Seller,Part Grade Unknown,156000,"Auto Network, Inc","Fairmount, IN","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-399370-373-1"
50.00,Contact Seller,Part Grade Unknown,164000,"Auto Network, Inc","Fairmount, IN","https://www.hollanderparts.com/used-auto-parts/2009/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-325269-373-1"
50.00,Contact Seller,Part Grade Unknown,0,"Auto Network, Inc","Fairmount, IN","https://www.hollanderparts.com/used-auto-parts/2012/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-304042-373-1"
50.00,Contact Seller,Part Grade Unknown,0,Affordable Auto Wreckers,"Calgary, AB","https://www.hollanderparts.com/used-auto-parts/2008/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-2650702-171-1"
40.00,Contact Seller,Excellent Condition (Grade A),200000,All Foreign Auto Parts,"Pittsburgh, PA","https://www.hollanderparts.com/used-auto-parts/2009/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-145624-2792-1"
40.00,Contact Seller,Excellent Condition (Grade A),133000,All Foreign Auto Parts,"Pittsburgh, PA","https://www.hollanderparts.com/used-auto-parts/2014/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-116194-2792-1"
40.00,Contact Seller,Excellent Condition (Grade A),120000,All Foreign Auto Parts,"Pittsburgh, PA","https://www.hollanderparts.com/used-auto-parts/2014/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-29900-2792-1"
40.00,Contact Seller,Excellent Condition (Grade A),126000,All Foreign Auto Parts,"Pittsburgh, PA","https://www.hollanderparts.com/used-auto-parts/2013/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-29917-2792-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),101000,"Rocco's Auto Parts, LLC","West Palm Beach, FL","https://www.hollanderparts.com/used-auto-parts/2015/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-285137-8836-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,"Rocco's Auto Parts, LLC","West Palm Beach, FL","https://www.hollanderparts.com/used-auto-parts/2008/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-252403-8836-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Scrap It Salvage,"Philadelphia, PA","https://www.hollanderparts.com/used-auto-parts/2009/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-20689-8737-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Paul's Auto Yard,"Westville, IN","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-2871-8634-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Paul's Auto Yard - South,"South Bend, IN","https://www.hollanderparts.com/used-auto-parts/2012/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-549959-8559-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Paul's Auto Yard - South,"South Bend, IN","https://www.hollanderparts.com/used-auto-parts/2010/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-260335-8559-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Paul's Auto Yard - South,"South Bend, IN","https://www.hollanderparts.com/used-auto-parts/2010/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-245650-8559-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Pauls Auto Yard - Elkhart,"Elkhart, IN","https://www.hollanderparts.com/used-auto-parts/2012/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-408296-8554-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Pauls Auto Yard - Elkhart,"Elkhart, IN","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-407632-8554-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Pauls Auto Yard - Elkhart,"Elkhart, IN","https://www.hollanderparts.com/used-auto-parts/2008/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-391551-8554-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Paul's Auto Yard - Gary,"Gary, IN","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-134994-8523-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Pauls Auto Yard - Demotte,"Demotte, IN","https://www.hollanderparts.com/used-auto-parts/2013/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-86974-8518-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Pauls Auto Yard - Demotte,"Demotte, IN","https://www.hollanderparts.com/used-auto-parts/2009/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-86223-8518-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Paul's Auto Yard Inc,"Westville, IN","https://www.hollanderparts.com/used-auto-parts/2009/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-301558-8517-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Paul's Auto Yard Inc,"Westville, IN","https://www.hollanderparts.com/used-auto-parts/2014/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-283604-8517-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Paul's Auto Yard Inc,"Westville, IN","https://www.hollanderparts.com/used-auto-parts/2012/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-259825-8517-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Paul's Auto Yard Inc,"Westville, IN","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-243642-8517-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Paul's Auto Yard Inc,"Westville, IN","https://www.hollanderparts.com/used-auto-parts/2009/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-223139-8517-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Pauls Auto Yard - Knox,"Knox, IN","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-63216-8511-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Paul's Auto Yard,"Fort Wayne, IN","https://www.hollanderparts.com/used-auto-parts/2009/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-492084-8504-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Paul's Auto Yard,"Fort Wayne, IN","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-482406-8504-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Paul's Auto Yard,"Fort Wayne, IN","https://www.hollanderparts.com/used-auto-parts/2009/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-433411-8504-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),0,Paul's Auto Yard,"Fort Wayne, IN","https://www.hollanderparts.com/used-auto-parts/2011/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-223290-8504-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),184000,Jerrys Salvage and Towing,"Forest, MS","https://www.hollanderparts.com/used-auto-parts/2010/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-13275-8466-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),181000,Greenlane Auto Wreckers,"Belleville, ON","https://www.hollanderparts.com/used-auto-parts/2012/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-167345-8462-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),285000,Greenlane Auto Wreckers,"Belleville, ON","https://www.hollanderparts.com/used-auto-parts/2013/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-165347-8462-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),287000,Greenlane Auto Wreckers,"Belleville, ON","https://www.hollanderparts.com/used-auto-parts/2012/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-158507-8462-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),247000,Greenlane Auto Wreckers,"Belleville, ON","https://www.hollanderparts.com/used-auto-parts/2012/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-138091-8462-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),186000,Greenlane Auto Wreckers,"Belleville, ON","https://www.hollanderparts.com/used-auto-parts/2013/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-123160-8462-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),210000,Greenlane Auto Wreckers,"Belleville, ON","https://www.hollanderparts.com/used-auto-parts/2012/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-108786-8462-1"
Call For Price,Contact Seller,Excellent Condition (Grade A),195000,Greenlane Auto Wreckers,"Belleville, ON","https://www.hollanderparts.com/used-auto-parts/2012/nissan/rogue/doors/617-power-window-motor/617-51333l-left-front,-l./part-91410-8462-1"
